abstract,title,year
A method comprises removing space debris having a relatively low ballistic coefficient by hastening orbital decay of the debris. A transient gaseous cloud is created at an altitude of at least 100 km above Earth. The cloud has a density sufficient to slow the debris so the debris falls into Earth's atmosphere.,Space debris removal,2014
A space access system may include a reusable booster limited to sub-orbital operation and having a fuselage. The reusable booster may include a tri-propellant propulsion system which may be configured to shift from a tri-propellant mode of operation to a bi-propellant mode of operation. The tri-propellant propulsion system may include at least one tri-propellant engine and at least one internal propellant tank mounted within the fuselage and being fluidly coupled to the tri-propellant engine. A payload may be mounted with the fuselage. The payload may have an upper stage.,Space access system with reusable booster,2014
Systems and methods for interconnecting dual manifested spacecraft for launch by a launch vehicle are disclosed. Different motive forces are utilized to couple a first spacecraft to a second spacecraft and to restrict demating of the second spacecraft from the first spacecraft. Some systems and methods utilize pneumatic pressure to permit mating of a first spacecraft to a second spacecraft and utilize spring force to restrict demating of the second spacecraft from the first spacecraft.,Systems for interconnecting dual manifested spacecraft,2014
"A cryogenically cooled radiation shield device and method are provided to shield an area, such as the capsule of a space vehicle, from radiation. A cryogenically cooled radiation shield device may include at least one first coil comprised of a superconducting material extending about the area to be shielded. The cryogenically cooled radiation shield device also includes a first inner conduit extending about the area to be shielded from radiation. The at least one first coil is disposed within the first inner conduit. The cryogenically cooled radiation shield device also includes a first outer conduit extending about the area to be shielded from radiation. The first inner conduit is disposed within the first outer conduit. The cryogenically cooled radiation shield device also includes a first cryogen liquid disposed within the first inner conduit and a second cryogen liquid, different than the first cryogen liquid, disposed within the first outer conduit.",Cryogenically cooled radiation shield device and associated method,2014
The different advantageous embodiments provide for identifying gas leakage in a platform. A processor unit identifies a rate of the gas of the substance leaking from a container in a first compartment for a platform. The processor unit also identifies an amount of gas that has leaked from the container at a selected time based on the rate of the gas of the substance leaking from the container and a total time. The processor unit identifies an amount of the gas of the substance present in a number of compartments associated with the first compartment using the amount of gas leaked from the container in the first compartment and a pressure for each compartment in the number of compartments. The processor unit determines whether the amount of gas in at least one of the first compartment and the number of compartments is outside of a desired amount for the gas.,Ammonia detection,2014
"This disclosure is directed to apparatuses, systems, and methods associated with the stowing, deploying, and deployment of a solar cell array. With reference to some exemplary embodiments this disclosure teaches apparatuses, systems, and methods directed to a solar cell array system that is a relatively lightweight, compact, and self-contained structure that securely stores, protects, and deploys the solar array. With reference to some exemplary embodiments this disclosure teaches apparatuses, systems, and methods for deploying a solar cell array that is held in the deployed configuration by self-contained compressive force and tensile force members such that no loads are carried through the solar cell panels.",Stowing or deploying a solar array,2014
"A spacecraft is provided. The spacecraft comprises a plurality of heat generating electrical components. A first thermal radiator panel and a second thermal radiator panel are provided on the spacecraft, each panel being thermally coupled to the heat generating electrical components. Heat pipes are also provided. At least one first heat pipe is externally attached to the first thermal radiator panel and at least one second heat pipe is externally attached to the second thermal radiator panel. The at least one first heat pipe is thermally coupled to the at least one second heat pipe.",Spacecraft heat dissipation system,2014
"A passive non-ablating thermally protective structure body is disclosed. An improved-reliability heat pipe edge comprises a non-porous material formed into a wedge-shaped chamber, and a porous layer. The porous layer extends from interior surfaces of the non-porous material to provide capillary wicking.","Stay sharp, fail safe leading edge configuration for hypersonic and space access vehicles",2014
"A seal assembly is provided for maintaining a pressure difference between an exterior and an interior of an object having an access hatch and an access hatch frame. The seal assembly has a seal retainer having an interior face oriented toward the interior of the object, an exterior face oriented toward the exterior of the object, a hatch-side face oriented toward the access hatch and extending from the interior face to the exterior face, and frame-side face oriented toward the access hatch frame and extending from the interior face to the exterior face. The seal assembly also has at least one sealing member mounted on either the interior face or the exterior face of the seal retainer and a plurality of conduits formed in the seal retainer and extending from the exterior face to the interior face. The plurality of conduits include at least one supply conduit located between either the hatch-side or frame-side face and the at least one sealing member and at least one return conduit located so that the at least one sealing member is positioned between the at least one supply conduit and the at least one return conduit.",Seal assembly with leak test components,2014
"A thermal protection system for a vehicle may include a substantially rigid, relatively thin outer aeroshell, a relatively low density insulation layer, and a resiliently compressible conformal layer. The vehicle may include a substructure. The aeroshell may be configured to be fastened to the substructure. The insulation layer may be disposed against the aeroshell. The conformal layer may be disposable against the insulation layer. The conformal layer may be compressively preloaded against the substructure when the aeroshell is fastened to the substructure.",Aeroshell thermal protection system and method,2014
A flexible space structure such as a solar array is composed of multiple solar cell modules (SCMs) each supporting an arrangement of solar cells on a frontside layer and incorporating a backside layer with a surface opposite from the frontside layer having a conductive coating. A selected portion of the SCMs have structural ground extension harnesses intermediate the frontside layer and backside layer. Conductive tapes secure vertically adjacent SCMs by attachment to the conductive coating and electrical jumpers interconnect the structural ground extension harnesses across gapped hinge lines of laterally adjacent SCMs.,"Atomic oxygen and electrostatic-resistant, flexible structure for space applications",2014
"A system, method, and apparatus for a solar cell based sun sensor are disclosed. The system involves at least three solar panel elements and at least one processor. Each of the solar panel elements measures solar power, and generates currents according to the amount of solar power that the solar power element measures. At least one processor utilizes the currents to determine the three-dimensional sun vector. The solar cell based sun sensor system automatically adjusts for effects of any solar panel element degradation by computing a new maximum current reference value for each solar power measurement. The solar cell based sun sensor system is employed by a spacecraft and/or a terrestrial system. The solar cell based sun sensor system is utilized for guidance, for navigation, for tracking the sun's motion relative to a given reference, to keep instruments pointed to the sun, and/or to keep instruments isolated from the sun.",Three-dimensional sun vector determination utilizing low-cost solar cells,2014
"A method for producing a heated fluid for use within an engine for propulsion of a vehicle is described. The method includes receiving cooled fluid from a fluid source, directing the cooled fluid between a first window configured to operate as a structural member of the engine and a second window configured to separate the cooled fluid from a heated fluid, passing an electromagnetic beam through the first window and the second window, absorbing the passed electromagnetic beam with a heat exchanger within the engine, and directing the cooled fluid through the heat exchanger to become heated fluid.",Methods and systems for beam powered propulsion,2014
"Methods and apparatus are presented for spacecraft operation in which a control problem is formulated using a control law or steering law as a path constraint or as a dynamic constraint, and the control problem is solved to provide a guidance command trajectory for use in operating spacecraft control momentum gyroscopes to guide the spacecraft from an initial state to a desired final state.",Method and apparatus for determining spacecraft maneuvers,2014
"A method to enhance efficiency of a propellant heat exchanger is described. The method includes spacing a plurality of propellant tubes of the propellant heat exchanger within defined flux bins, the flux bins defined as a function of total beam energy to be received by the propellant tubes, the propellant tube spacing resulting in each defined flux bin operable to receive a substantially equal amount of beam energy, and configuring each flux bin such that any beam energy that impinges the flux bin is directed to the propellant tube therein.",Methods and systems for flux distribution within a heat exchanger,2014
"A multiple space vehicle launch system that may be adapted to be disposed within a payload region of a launch vehicle fairing. The launch system may include a first space vehicle, a second space vehicle releasably attached to the first space vehicle and oriented relative to the first space vehicle such that, when placed within the fairing, a launch load of the first space vehicle is transmitted to and borne by the second space vehicle. In certain embodiments, the first and second space vehicles each may include one of an electrical propulsion unit and a hybrid chemical and electrical propulsion unit. Use of electrical or hybrid chemical and electrical propulsion units enables the second space vehicle to bear all or a significant portion of the launch load of the first space vehicle, thereby eliminating the need for additional support structure.",Multiple space vehicle launch system,2014
"A method and apparatus comprising a number of battery cells, a housing having a plurality of channels, an assembly, and a number of grooves. The housing is configured to hold the number of battery cells. The assembly is configured to separate the number of battery cells from the housing in which the housing has the plurality of channels. The number of grooves is formed by the assembly and surfaces of the number of battery cells.",Battery cell isolation system,2014
"The disclosed method involves calculating, with at least one processor, a desired orbit for the spacecraft. The method further involves calculating a velocity change required to achieve an orbit eccentricity, a velocity change required to achieve a semi-major axis, and a velocity change required to achieve an orbit inclination; all of which correspond to the desired orbit for the spacecraft. Also, the method involves calculating the direction of the vector sum of the velocity change required to achieve the orbit eccentricity, the velocity change required to achieve the semi-major axis, and the velocity change required to achieve the orbit inclination. Further, the method involves activating at least one propulsion device of the spacecraft in the direction of the vector sum in order to change the current orbit of the spacecraft to the desired orbit for the spacecraft, thereby changing the orbit eccentricity, the semi-major axis, and the orbit inclination simultaneously.",Enhanced compound steering law for general low thrust mission,2015
"An apparatus comprising a first structure, a second structure, a first layer, and a second layer. The first structure has a first plurality of channels extending towards a number of edges of the first structure. The second structure has a second plurality of channels extending towards a number of edges of the second structure. A first side of the first structure is connected to a first side of the second structure. The first plurality of channels and the second plurality of channels have an orientation with respect to each other. The first layer is connected to a second side of the first structure. The second layer is connected to a second side of the second structure.",Common bulkhead for composite propellant tanks,2015
A spacecraft comprises a hybrid assembly equipped with at least one solar panel characterized in that said assembly comprises at least one solar cell provided with luminous energy concentration means and said assembly also comprises at least one solar cell with no luminous energy concentration means.,Hybrid assembly equipped with at least one solar panel,2015
"A protection device for an optical instrument of a satellite including a body on which the optical instrument is mounted, the optical instrument including a central mirror and peripheral mirrors reflecting light towards the central mirror, said protection device having a folded position and a deployed position, includes a plurality of panels rigid in the deployed position, the device forming a cellular structure including a tube for each peripheral mirror, the section of the tubes being a polygon, the tubes being disposed in such a manner as to protect the peripheral mirrors against stray illumination, and said panels being held against the body of the satellite in the folded position.",Device for protection of a multibeam optical instrument,2015
"A method and apparatus for reconfiguring a lavatory area. An apparatus comprises a first lavatory area, a second lavatory area, a first door for the first lavatory area, and a second door for the second lavatory area. The first door and the second door are configured to move between an open position and a closed position. A single passageway is present in both the first lavatory area and the second lavatory area when the first door and the second door are in the open position.",Lavatory reconfiguration system,2015
"An apparatus for reorientation of an airborne vehicle during decent employs a handle rotatably attached to the airborne vehicle and connected to a parachute. Once the parachute is deployed, rotation of the handle reorients a deck angle of the airborne vehicle with respect to the parachute.",Handle for dual mode airborne vehicle landing,2015
"A system of geographical location of at least one radio signal transmitter located on the Earth's surface including: a set of satellites equipped with receiving antennas adapted for receiving said signals, forming a main extended interferometry device; an intersatellite relative metrology device for determining the relative positions of said satellites to one another, including at least one dedicated sensor for each satellite, and intersatellite communication means; a device for dating said received signals from said determining of the relative positions of said satellites to one another, issued by said intersatellite relative metrology device; a secondary interferometry device including at least one set of at least three antennas of a satellite; a ground base station; a device for transmitting measurements acquired on the satellites to the ground base station; and means of determining an absolute position of at least one of the satellites.","System of geographical location of a radio signal transmitter located on the earth's surface, and associated method of distributed interferometry",2015
"A vehicle comprises a first stage supersonic aircraft, and a second stage hypersonic aircraft. The second stage aircraft is in tandem with the first stage aircraft.",First and second stage aircraft coupled in tandem,2015
"A geostationary earth orbit (GEO) spacecraft is disclosed that includes a body with north, east, south, and west sides and a north-south axis. The spacecraft has at least one deployable radiator rotatably coupled to the body. The deployable radiator has a stowed position proximate to one of the east and west sides and a deployed position that is greater than 90 degrees from the north-south axis in a direction away from the respective one of the east and west sides.",Deployable radiator having an increased view factor,2015
"A heat transfer assembly can include an equipment panel having an east end and a west end. East and west radiator panels are coupled to the east and west ends, respectively, of the equipment panel. The assembly also includes a plurality of flexible heat pipes each having a first rigid tube thermally coupled to the east radiator panel, a second rigid tube coupled to the equipment panel, a third rigid tube thermally coupled to the west radiator panel, a first flexible tube sealingly coupled between the first and second rigid tubes, and a second flexible tube sealingly coupled between the second and third rigid tubes. The equipment panel is configured to retain one or more equipment modules in thermal contact with the second rigid tube of at least one of the plurality of flexible heat pipes.",Spacecraft east-west radiator assembly,2015
"A spacecraft having a primary structural frame and a propellant tank, in which the spacecraft may include a tank mount adopted to engage a portion of the propellant tank, the tank mount being configured to transfer launch loads directly from the propellant tank to a lunch vehicle interface ring.",Spacecraft propellant tank mount,2015
"A method and apparatus for forming a joint. A composite insert may be placed into a joint region for a first structure. The composite insert may comprise a structure having a first portion, a second portion, and a third portion all extending from a junction; and a resin impregnated into the structure to form the composite insert. The second structure may be laid up. The composite insert may be bonded to the first structure and the second structure.",Fabric preform insert for a composite tank Y-joint,2015
"An orbital debris detection system positionable on a satellite launchable into an earth orbit includes a light source having a collimated light output, a curved mirror for receiving the collimated light output and forming a light sheet outside the satellite, and a scattered light detector for detecting a scattered light from the light sheet resulting from orbital debris intersecting the light sheet and scattering light toward the detector. The system can provide damage attribution on a space vehicle (whether it was just hit by a piece of debris), data gathering for debris models (time, location, approximate debris size, direction of trajectory) that are starved for information on small (<1 cm) debris pieces, measuring density and distribution of predominantly small (<1 cm) orbital debris in a debris cloud (e.g. a cloud that is the result of a satellite collision), and monitoring the performance of orbital debris removal efforts that target small debris.",Optical orbital debris spotter,2015
A method and apparatus comprising a location reference system and a control module. The location reference system is configured to generate location information for a number of mobile platforms in an environment. The control module is configured to receive the location information for the number of mobile platforms from the location reference system. The control module is further configured to generate command signals for the number of mobile platforms using the location information. The control module is further configured to send the command signals to the number of mobile platforms to operate the number of mobile platforms in the environment such that operation of the number of mobile platforms emulates the operation of a number of spacecraft systems in a non-Earth terrestrial environment.,Spacecraft development testbed system,2015
A method and apparatus for generating avoidance data. Strips are generated for a path of a space object. The strips are positioned relative to the path of the space object. The strips have parameters that obscure an identification of the path of the space object to form the avoidance data.,Satellite predictive avoidance system,2015
A self-driven articulation designed for automatically deploying the elements that it connects including two articulation fittings made to rotate under the action of at least one passive drive element. The articulation includes at least one flexible duct for regulating the speed at which it deploys.,Self-driven articulation and self-regulated articulated assembly,2015
"A system for enhancing movement of a multi-engine flight vehicle about either of pitch or yaw axes. The engines are oriented relative the centerline of the flight vehicle and a portion of the engines have a positive tangential cant and the remaining engines have a negative tangential cant. The attitude of the flight vehicle about the pitch, yaw and roll axes is controlled by differentially throttling the multi-engine flight vehicle.",Differential throttling control enhancement,2015
"A window system for a vehicle comprising a pressure and thermal window pane, a seal system, and a retainer system. The pressure and thermal window pane may be configured to provide desired pressure protection and desired thermal protection when exposed to an environment around the vehicle during operation of the vehicle. The pressure and thermal window pane may have a desired ductility. The seal system may be configured to contact the pressure and thermal window pane to seal the pressure and thermal window pane. The retainer system may be configured to hold the seal system and the pressure and thermal window pane.",Combined pressure and thermal window system for space vehicles,2015
"A laser ignition/ablation propulsion system that captures the advantages of both liquid and solid propulsion. A reel system is used to move a propellant tape containing a plurality of propellant material targets through an ignition chamber. When a propellant target is in the ignition chamber, a laser beam from a laser positioned above the ignition chamber strikes the propellant target, igniting the propellant material and resulting in a thrust impulse. The propellant tape is advanced, carrying another propellant target into the ignition chamber. The propellant tape and ignition chamber are designed to ensure that each ignition event is isolated from the remaining propellant targets. Thrust and specific impulse may by precisely controlled by varying the synchronized propellant tape/laser speed. The laser ignition/ablation propulsion system may be scaled for use in small and large applications.",Aerospace laser ignition/ablation variable high precision thruster,2015
"A new multifunctional, thermoelastic cellular structure is described. The new structure provides tunable thermal transport behaviors particularly important for thermal switching. In its simplest example embodiment of a single or unit cell, opposing bimetallic elements bend in response to temperature changes and, below a tunable switching temperature, are separated in an open or insulating position and, at and above the switching temperature, bend to come into contact in a closed or conducting position. Multiple cells are combined in different lattice arrays to create structures that are both switchable and load bearing. The cells can be switched by both temperature and other external fields.",Tunable thermal switch,2015
A spacecraft may include an upper core structure or a lower core structure. The upper core structure may include an upper cylinder for supporting an upper spacecraft of a dual-manifest launch configuration. The lower core structure may include a lower cylinder for supporting a lower spacecraft with the upper cylinder mounted on top of the lower cylinder. The upper cylinder may have an upper cylinder inner diameter that may be substantially similar to the lower cylinder inner diameter.,Modular core structure for dual-manifest spacecraft launch,2015
A heat shield is disclosed. The heat shield may have a honeycomb core having a plurality of intersecting wall portions forming a plurality of cells. A strain compliant material may be applied to the wall portions of the honeycomb core prior to filling of the cells with an ablative material. An ablative material may be used that at least substantially fills the cells of the honeycomb core.,Heat shield having strain compliant matrix and method of forming same,2015
"Thruster grid clear circuits and methods to clear thruster grids are disclosed. An example apparatus includes a low voltage grid clear circuit to apply first energy to a grid at a first voltage, and a high voltage grid clear circuit to detect a failure of the applied energy to clear a short circuit condition of the grid and to apply second energy to the grid at a second voltage higher than the first voltage.",Thruster grid clear circuits and methods to clear thruster grids,2015
Methods and apparatus are presented for spacecraft operation using non-Eigen axis attitude transitions via control momentum gyroscopes (CMGs) to avoid or mitigate singularities by providing a time-varying attitude command vector including a plurality of time-varying attitude command signals or values representing a plurality of spacecraft states and control trajectories as a guidance command input to an attitude controller of the spacecraft without modifying the spacecraft feedback control law.,Method and apparatus for contingency guidance of a CMG-actuated spacecraft,2015
"A method for reducing the angular momentum of a spacecraft comprises a propulsion device able to generate a torque along a Z axis corresponding to an axis of maximum inertia or minimum inertia of the spacecraft, an X axis and a Y axis forming with Z an orthogonal frame; an angular momentum accumulating device, able to generate an angular momentum and a torque along the three axes; and a set of sensors able to measure the angular velocities and estimate the angular momentum of the spacecraft. The method comprises a first step of aligning the angular momentum of the spacecraft along the Z axis, consisting in slaving the angular momentum of the angular momentum accumulating device to the angular velocity of the spacecraft, and a second step of reducing the angular momentum of the spacecraft using a torque generated by the propulsion device.",Method for reducing the angular momentum and controlling the attitude of a spacecraft,2015
"A first part, a second part, and a seal ring are fastened together to form a pressure structure configured for a spacecraft structure of a spacecraft, wherein the first part and the second part are each formed from a single workpiece.",Mechanically fastened large pressurized vehicle structure,2015
"A heat shield for a space vehicle comprises a plurality of phenolic impregnated carbon ablator (PICA) blocks secured to a surface of the space vehicle and arranged in a pattern with gaps therebetween. The heat shield further comprises a plurality of PICA strips disposed in the gaps between the PICA blocks. The PICA strips are mounted edgewise, such that the structural orientation of the PICA strips is substantially perpendicular to the structural orientation of the PICA blocks.",Space vehicle heat shield having edgewise strips of ablative material,2015
"The present invention comprises an approach for calibrating the sensitivity to polarization, optics degradation, spectral and stray light response functions of instruments on orbit. The concept is based on using an accurate ground-based laser system, Ground-to-Space Laser Calibration (GSLC), transmitting laser light to instrument on orbit during nighttime substantially clear-sky conditions. To minimize atmospheric contribution to the calibration uncertainty the calibration cycles should be performed in short time intervals, and all required measurements are designed to be relative. The calibration cycles involve ground operations with laser beam polarization and wavelength changes.",Method for ground-to-satellite laser calibration system,2015
"A system and a method for commanding a spacecraft to perform a three-axis maneuver purely based on “position” (i.e., attitude) measurements. Using an “inertial gimbal concept”, a set of formulae are derived that can map a set of “inertial” motion to the spacecraft body frame based on position information so that the spacecraft can perform/follow according to the desired inertial position maneuvers commands. Also, the system and method disclosed herein employ an intrusion steering law to protect the spacecraft from acquisition failure when a long sensor intrusion occurs.",Position-based gyroless control of spacecraft attitude,2015
"A method, system, and apparatus are disclosed for a solar array transfer orbit power maximizer. The present disclosure teaches a solar array circuitry design that can produce more stowed transfer orbit power than the traditional solar array. The disclosed design is able to achieve the additional stowed transfer orbit power by simply reassigning circuits without adding additional solar cells. In one or more embodiments, the disclosed method involves allocating a first plurality of solar cells to at least one circuit on an inboard panel of the solar array, and allocating a second plurality of solar cells to at least one circuit on an outboard panel of the solar array. The method further involves assigning at least one solar cell from at least one circuit on the inboard panel that is not needed during beginning of life (BOL) to at least one circuit on the outboard panel of the solar array.",Solar array transfer orbit power maximizer,2015
"A propulsion apparatus includes a propellant, at least one laser, and a thrust member. The propellant includes a solid surface having a hollow core disposed within the solid surface and a thrust-producing medium disposed within the hollow core. The at least one laser is positioned to vaporize the propellant with at least one laser-beam into a thrust-producing flow. The thrust member is for flowing within the thrust member a thrust-producing flow created by vaporization of the propellant.",Laser-powered propulsion system,2015
An aerospace structure that includes a composite member and a conductive element attached to the composite member wherein the conductive element is configured to conduct electricity across at least a portion of the composite member is provided. The aerospace structure may also include a power distribution system and the conductive element is a part of the power distribution system for the aerospace structure.,Carbon fiber spacecraft panel with integral metallic foil power return,2015
"An attitude estimator that uses star tracker measurements and enhanced Kalman filtering, with or without attitude data, to provide three-axis rate estimates. The enhanced Kalman filtering comprises taking an average of forward and rearward propagations of the Kalman filter states and the error covariances. The star tracker-based rate estimates can be used to control the attitude of a satellite or to calibrate a sensor, such as a gyroscope.",Star tracker rate estimation with kalman filter enhancement,2015
"The through-pivot comprises a first ring and a second ring, one of the two rings being able to rotate about a longitudinal axis with respect to the other ring. The pivot further comprises at least one floating frame. The two rings are connected to the floating frame by at least one first set and, respectively, by at least one second set, of several flexible elements running in a direction that is transverse to the two rings. The floating frame may be made up of a ring in the form of a cylinder of revolution about the axis, or of ring portion, it being possible for the floating frame to be positioned either on the inside or on the outside of the rings indifferently.",Through-pivot with flexible elements and spacecraft comprising such a pivot,2015
"A relay telemetry system enables an ion propulsion system to self-test the critical relay configuration prior to supplying high-voltage power to any thruster. This test detects whether any critical relay has failed to switch properly or is in the wrong configuration. In the test mode, an onboard computer initiates the application of a low-voltage test voltage (nominally 15 V) to the high-voltage circuits (when the high voltage is off) by a stimulus circuit. Sensing circuits detect the inputs and outputs of the system connections in response to this stimulus. If the test voltage appears on an input or output where it is not expected, then a relay fault has occurred and will be detectable in telemetry sent back to the onboard computer.",Telemetry for testing switch configuration in ion propulsion system,2015
"A cryogenically cooled radiation shield device and method are provided to shield an area, such as the capsule of a space vehicle, from radiation. A cryogenically cooled radiation shield device may include at least one first coil comprised of a superconducting material extending about an area to be shielded from radiation. The cryogenically cooled radiation shield device also includes a first conduit extending about the area to be shielded from radiation. The at least one first coil is disposed within the first conduit. The cryogenically cooled radiation shield device also includes a second conduit extending about the area to be shielded from radiation. The first conduit is disposed within the second conduit. The cryogenically cooled radiation shield device also includes a first cryogen liquid disposed within the first conduit and a second cryogen liquid, different than the first cryogen liquid, disposed within the second conduit exterior of the first conduit.",Cryogenically cooled radiation shield device and associated method,2015
"Embodiments of the present invention provide an ion-thruster stationkeeping method and mounting configuration that reduces the propellant penalty when a single thruster fails, e.g., in the case where only three of a spacecraft's four ion thrusters are available. By improving firing efficiency for the single-thruster failure case, on-board propellant is reduced, thereby allowing increased payload mass. Also, the configuration supports both N/S and E/W stationkeeping using four ion thrusters (or three thrusters for the failure case) and therefore does not require a separate propulsion system or thrusters for E/W stationkeeping.",Thruster orbit control method and configuration,2015
"A method and system of using a common set of coils to provide at least two of magnetic flux, heat and degaussing in a mobile platform are provided. In accordance with one embodiment, the method involves oscillation of current in the coils at a frequency higher than a defined pointing requirement to provide heat. In accordance with another aspect, the coil functions as a degausser by energizing the coil with an oscillating current that decreases in amplitude over time.","Multi-purpose electrical coil as a magnetic flux generator, heater or degauss coil",2015
"A multiple stage orbital delivery vehicle that uses tractor propulsion to launch the vehicle into space. Only the upper stage of the vehicle includes an engine and avionics allowing the lower stages to be only liquid propellant tanks that may be dumped when empty. The liquid propellant may be either monopropellant or bi-propellant. The upper stage may include multiple nozzles that burn the propellant. Alternatively, the upper stage may include an aerospike engine instead of nozzles. The multiple stage orbital delivery vehicle may be air launched from an airborne aircraft or may be launched from the ground.",Multiple stage tractor propulsion vehicle,2015
"Methods and apparatuses are provided for managing a plurality of thrusters in a platform. The method and apparatuses comprise operating the plurality of thrusters in the platform with a thruster control system. The methods and apparatuses comprise estimating a vehicle response resulting from the operation of the plurality of thrusters to form an estimated vehicle response. The methods and apparatuses also comprise comparing the estimated vehicle response to a desired vehicle response to develop objective function errors. Also, the methods and apparatuses comprise developing a number of commands configured to correct the objective function errors.",Health-adaptive reaction control system,2015
"An electric generator is disclosed that includes a duct configured to direct hyperthermal air molecules toward a source of exothermic fuel, a fuel dispenser configured to dispense fuel into a flow of the hyperthermal air molecules to cause a hyperthermic chemical reaction between the fuel and the hyperthermal air molecules that produces highly internally excited air molecules. The excited molecules amplify a seed current. Power harvesting cells are configured to capture and convert the amplified current to electricity.",Systems and methods for generating electric current from hyperthermal chemical reaction,2015
"A method and apparatus for operating a nose cone. In one illustrative example, an apparatus comprises a plurality of segments and a movement system associated with the plurality of segments. The plurality of segments forms the nose cone. Each of the plurality of segments comprises a segment outer surface that forms a portion of an outer surface of the nose cone. The movement system is used to move at least one of the plurality of segments to move the nose cone between a retracted state and an expanded state.",Expandable nose cone,2015
"Systems and methods provide a multi-layer insulation (MLI) that includes a plurality of sealed metalized volumes in a stacked arrangement, wherein the plurality of sealed metalized volumes encapsulate a gas therein, with the gas having one of a thermal insulating property, an acoustic insulating property, or a combination insulating property thereof. The MLI also includes at least one spacer between adjacent sealed metalized volumes of the plurality of sealed metalized volumes and a protective cover surrounding the plurality of sealed metalized volumes.",Systems and methods for providing insulation,2015
"Apparatuses, systems, computer programs and methods for performing hazard detection and avoidance for landing vehicles are provided. Hazard assessment takes into consideration the geometry of the lander. Safety probabilities are computed for a plurality of pixels in a digital elevation map. The safety probabilities are combined for pixels associated with one or more aim points and orientations. A worst case probability value is assigned to each of the one or more aim points and orientations.",Probabilistic surface characterization for safe landing hazard detection and avoidance (HDA),2015
"A tension stiffened and tendon actuated manipulator is provided performing robotic-like movements when acquiring a payload. The manipulator design can be adapted for use in-space, lunar or other planetary installations as it is readily configurable for acquiring and precisely manipulating a payload in both a zero-g environment and in an environment with a gravity field. The manipulator includes a plurality of link arms, a hinge connecting adjacent link arms together to allow the adjacent link arms to rotate relative to each other and a cable actuation and tensioning system provided between adjacent link arms. The cable actuation and tensioning system includes a spreader arm and a plurality of driven and non-driven elements attached to the link arms and the spreader arm. At least one cable is routed around the driven and non-driven elements for actuating the hinge.",Tension stiffened and tendon actuated manipulator,2015
"Methods and apparatus to methods and apparatus for performing propulsion operations using electric propulsion system are disclosed. An example apparatus includes a frame, a power source coupled to the frame and a payload coupled to the frame, the payload to receive or transmit data. The apparatus also includes an electric propulsion system coupled to the frame. The electric propulsion system is to enable attitude control, momentum control, and orbit control of the apparatus.",Methods and apparatus for performing propulsion operations using electric propulsion systems,2015
"A gridded ion propulsion system comprising two power controllers, four ion thrusters, and two switch assemblies. One switch assembly is connected to the two power controllers and to two of the four ion thrusters. The other switch assembly is connected to the two power controllers and to the other two ion thrusters. Each switch assembly has first and second switching states which can be selected to enable either power controller to supply power to any one of the four ion thrusters. Each switch assembly comprises a respective movable body and a respective multiplicity of switches which change state in unison when the movable body changes position. For example, the movable body may be a rotatable hollow shaft driven by a stepper motor.",Rotary switch assembly for ion propulsion system,2015
"A field-ionization based electrical ion thruster utilizes a single propellant that can be used in either a high specific-impulse mode, i.e., ion-thruster mode, or a low-specific-impulse mode, i.e., a cold-gas thruster mode. In one embodiment, the high specific impulse mode (ion thruster mode) utilizes a miniaturized positive-ion field-ionization chamber including a permeable substrate infused with properly oriented carbon nanotubes (CNTs), which is fed propellant from a porous injection plug made from permeable carbon or equivalent material. In one embodiment, field-electron emission from a neutralizer, such as a carbon nanotube array neutralizer, positioned after one or more accelerator grids is used for ion neutralization. In one embodiment, the low specific-impulse (cold-gas mode) uses a conventional supersonic nozzle-expansion to generate thrust. In one embodiment, both the high specific-impulse mode and the low specific-impulse mode thruster embodiments share the same gas propellant, storage propellant tank, and delivery equipment.",Field-ionization based electrical space ion thruster using a permeable substrate,2015
"A variable gravity field simulator can be utilized to provide three dimensional simulations for simulated gravity fields selectively ranging from Moon, Mars, and micro-gravity environments and/or other selectable gravity fields. The gravity field simulator utilizes a horizontally moveable carriage with a cable extending from a hoist. The cable can be attached to a load which experiences the effects of the simulated gravity environment. The load can be a human being or robot that makes movements that induce swinging of the cable whereby a horizontal control system reduces swinging energy. A vertical control system uses a non-linear feedback filter to remove noise from a load sensor that is in the same frequency range as signals from the load sensor.",Active response gravity offload and method,2015
"A method and apparatus comprising a number of battery cells, a housing having a plurality of channels, an assembly, and a number of grooves. The housing is configured to hold the number of battery cells. The assembly is configured to separate the number of battery cells from the housing in which the housing has the plurality of channels. The number of grooves is formed by the assembly and surfaces of the number of battery cells.",Battery cell isolation system,2015
"A cone-shaped composite article may include an inner sublaminate containing at least four unidirectional plies having an inner stacking sequence with fiber angles of 0, 90, −45, and +45 degrees such that the inner laminate has a quasi-isotropic layup pattern at any location on the inner laminate. The cone-shaped composite article may also include an outer sublaminate containing at least four unidirectional plies having an outer stacking sequence that is a mirror image of the inner stacking sequence. Each one of the unidirectional plies may be continuous along a ply arclength wrapping 360 degrees around the cone-shaped composite article and may have opposing ply ends terminating at a ply seam.",Spiral laminated structural cone and manufacturing method,2015
